lat,lon,lprice,Size,Rooms,Toilets,Suites,Condo,Parking,Elevator,Furnished,Swimming.Pool
-23.687424,-46.703189,13.76946662,210,3,4,2,429,1,1,1,2
-23.687424,-46.703189,12.67607627,56,2,2,1,530,1,1,1,2
-23.687422,-46.703185,13.50079981,110,4,2,1,1000,2,2,1,2
-23.68727,-46.688981,13.05194091,73,2,2,1,750,1,2,1,2
-23.68727,-46.688981,13.01700286,62,2,2,1,600,1,1,1,1
-23.687159,-46.668062,12.4292162,58,2,2,1,280,1,1,1,1
-23.687159,-46.668062,12.32385568,50,2,2,1,260,1,1,1,1
-23.685443,-46.686106,12.64432758,45,2,2,1,390,1,2,2,1
-23.685261,-46.67729,12.97154049,84,3,2,1,590,2,2,1,2
-23.684914,-46.670173,12.54254488,50,2,2,1,450,1,2,1,2
-23.684882,-46.676319,12.59473064,52,2,2,1,560,1,2,1,1
-23.684398,-46.66818,12.40081672,56,2,2,1,290,1,1,1,1
-23.683993,-46.672482,12.4292162,61,2,2,1,300,1,1,1,2
-23.6839667,-46.7702204,12.36734079,48,2,1,0,350,0,1,1,1
-23.683386,-46.672598,12.20607265,57,2,2,1,300,1,1,1,2
-23.683234,-46.671997,12.30138283,59,2,2,1,310,1,1,2,1
-23.68245,-46.6803,12.79385931,60,2,2,1,480,1,1,1,1
-23.68245,-46.6803,12.8967167,79,2,2,1,600,1,2,1,2
-23.682291,-46.793838,12.18075484,45,2,2,1,253,1,1,1,1
-23.681365,-46.792271,12.18075484,45,2,2,1,253,1,1,1,1
-23.680637,-46.678961,12.67607627,68,2,2,1,680,1,2,2,2
-23.680575,-46.681652,12.5776362,52,2,2,1,450,1,2,1,2
-23.679901,-46.671563,12.61153775,55,2,2,1,350,1,2,1,1
-23.679897,-46.789329,12.23076526,48,2,2,1,293,1,1,1,1
-23.6798319,-46.691943,13.92883924,133,3,2,1,1042,2,1,1,2
-23.6793291,-46.6919327,14.07787482,163,3,4,3,1300,3,1,1,2
-23.679329,-46.691932,14.13759406,163,3,5,5,1200,3,2,1,2
-23.679329,-46.691932,13.91082074,133,3,4,1,980,2,1,1,2
-23.679275,-46.680277,12.7367009,60,2,2,1,550,1,1,1,2
-23.679003,-46.670605,12.82125828,67,3,2,1,492,1,1,1,1
-23.678997,-46.680949,12.81855192,95,2,2,1,700,1,1,1,1
-23.6788575,-46.6708452,12.70076889,65,3,1,0,520,1,1,2,2
-23.678689,-46.795386,12.32385568,50,2,2,1,80,1,1,1,1
-23.6772864,-46.6836875,12.67607627,64,3,2,1,705,1,1,1,2
-23.6762025,-46.6430358,12.54254488,47,2,1,0,394,1,1,1,1
-23.675963,-46.67033,12.46843691,54,2,2,1,490,1,2,2,1
-23.675736,-46.670166,12.70684793,62,2,2,1,382,1,2,1,1
-23.6750465,-46.6532668,12.34583459,47,2,1,0,200,1,1,1,1
-23.6750415,-46.6532647,12.31940133,47,2,1,0,200,1,1,1,1
-23.674722,-46.653257,12.26904744,46,2,2,1,150,1,1,1,1
-23.674688,-46.684267,12.76568843,58,2,2,1,600,1,2,1,1
-23.674536,-46.715107,12.76568843,50,2,2,1,420,1,2,1,2
-23.674536,-46.715107,12.70684793,50,2,2,1,420,1,2,1,2
-23.674152,-46.754348,12.36734079,49,2,2,1,260,1,1,1,2
-23.6738186,-46.656567,12.4292162,45,2,1,0,351,1,1,1,1
-23.6738186,-46.656567,12.52452638,44,2,1,0,250,1,1,1,1
-23.673575,-46.714152,12.67607627,51,2,2,1,380,1,1,1,1
-23.6735317,-46.6562016,12.36734079,45,2,1,0,377,1,1,1,1
-23.673505,-46.696855,14.39772618,234,3,6,5,1500,3,2,1,2
-23.673367,-46.714356,13.19932442,67,2,2,1,420,1,2,1,2
-23.673367,-46.714356,13.04979268,67,2,2,1,420,1,2,1,2
-23.6731679,-46.7721668,12.3883942,58,2,1,0,238,1,1,1,1
-23.672557,-46.763819,12.32385568,52,2,2,1,370,1,1,1,1
-23.672546,-46.76396,12.27839331,54,2,2,1,300,1,1,1,2
-23.672428,-46.713773,12.67607627,50,2,2,1,420,1,2,1,1
-23.672014,-46.787365,12.25247902,49,2,2,1,280,1,2,1,2
-23.672014,-46.787365,12.34583459,49,2,2,1,250,1,2,1,2
-23.671929,-46.7642608,12.15477935,48,2,1,0,220,1,1,1,1
-23.6717933,-46.6346851,13.58986388,82,2,2,1,670,2,2,1,2
-23.6716329,-46.6406762,12.4292162,49,2,1,0,320,1,1,1,1
-23.671364,-46.698671,14.45736444,266,4,1,2,2000,4,1,1,2
-23.671364,-46.698671,14.4306962,266,3,5,5,1750,4,2,1,2
-23.670571,-46.686337,12.54254488,60,2,2,1,540,1,1,1,1
-23.670387,-46.701421,14.15198279,181,3,4,3,1456,3,1,2,2
-23.670335,-46.678553,12.92391244,60,3,2,1,430,1,2,1,1
-23.6702351,-46.7637197,12.36734079,57,2,1,0,300,1,1,1,1
-23.670189,-46.688609,12.69158046,64,3,2,1,359,1,2,1,1
-23.670116,-46.696669,14.6992781,266,4,4,2,1850,4,2,1,1
-23.670116,-46.696669,14.40329722,266,4,1,4,1850,4,2,1,1
-23.670116,-46.696669,14.4306962,266,3,5,5,1850,4,1,1,1
