lat,lon,lprice,livingArea,bathrooms,bedrooms,house_age,garageSpaces,pool,spa
33.70049286,-84.28900909,11.88448902,1483,2,3,58,1,1,1
33.73826981,-84.29206085,12.8346813,1664,3,3,71,1,1,2
33.72867966,-84.27713013,12.82098798,1755,2,4,68,1,1,1
33.74059677,-84.25951385,12.62148478,1134,2,3,69,1,1,1
33.67483139,-84.26603699,12.36734079,1761,3,4,17,3,1,1
33.73878098,-84.27803802,12.64400494,1512,2,4,85,1,1,1
33.72221375,-84.24633789,12.66032474,1939,2,3,57,1,1,1
33.7048378,-84.27922058,12.76568843,4300,3,8,59,1,1,1
33.68218613,-84.26412964,12.34539971,1918,3,4,25,3,1,1
33.72899628,-84.28295898,12.61120436,1360,2,3,66,1,1,1
33.70742416,-84.25959015,12.42520818,1672,4,4,28,3,2,2
33.6876564,-84.25292206,12.25486281,1399,2,3,60,3,1,1
33.70321274,-84.29376984,12.54254488,1572,2,3,22,1,1,1
33.73957825,-84.30469513,13.45883561,2076,3,3,84,1,1,1
33.72446442,-84.24437714,12.7512997,1801,2,4,59,1,1,1
33.73239136,-84.30173492,12.7367009,1128,2,3,75,1,1,1
33.7225914,-84.26808929,12.76568843,1614,2,3,62,2,1,1
33.70525742,-84.29076385,12.42118403,1200,1,3,115,1,1,1
33.92205811,-83.30873871,12.4292162,1559,2,3,32,1,1,1
33.93006134,-83.32849884,12.67576373,3034,2,3,52,1,1,1
33.91527176,-83.33468628,12.81855192,3127,4,3,25,1,1,2
33.90991211,-83.33328247,12.61120436,2075,2,3,16,1,1,1
33.90379715,-83.33906555,12.27839331,1784,3,3,17,1,1,1
33.92838669,-83.33320618,11.84868316,1092,2,0,41,1,1,1
33.93077087,-83.33169556,12.61120436,3350,3,4,59,1,1,1
33.93334198,-83.31483459,12.20557252,1440,2,4,45,1,1,1
33.89044571,-83.3107605,12.76568843,2343,3,4,16,1,1,2
33.9338913,-83.32649231,12.57729131,2672,3,4,35,1,1,1
33.89922714,-83.31689453,12.36734079,1606,2,3,33,1,1,1
33.86909485,-83.33492279,13.30301688,5660,6,6,34,1,1,1
34.85851669,-84.41885376,13.30301688,1362,2,2,11,1,1,2
34.81419373,-84.38457489,13.26212532,1000,2,2,24,1,2,1
34.78812408,-84.29831696,14.18707411,3200,4,5,6,4,1,1
34.74531937,-84.27619171,14.4306962,4535,3,4,20,1,1,1
33.91725159,-84.25498962,12.88664104,2260,4,3,13,3,1,1
33.8887825,-84.24781799,13.19002203,2419,3,5,61,1,1,1
33.91205597,-84.25608826,12.99430271,3791,4,8,58,1,1,1
33.88922119,-84.27865601,12.99453001,2174,3,4,64,1,1,1
33.90313721,-84.26849365,12.61153775,1429,3,3,15,1,1,1
33.92315674,-84.23195648,12.42520818,1125,2,3,37,1,1,1
33.88716888,-84.27301025,13.01678061,2605,4,4,14,3,1,1
33.89036942,-84.22554779,12.27839331,1408,3,2,37,1,1,1
33.90319061,-84.26347351,13.01009013,2100,3,3,62,1,1,1
33.88276672,-84.23899841,12.9360338,2117,3,3,36,3,1,1
33.8890152,-84.22623444,12.01370075,1152,2,2,37,1,1,1
33.91013336,-84.2513504,12.59811473,1400,2,3,59,1,1,1
33.8696785,-84.23418427,13.45166712,4200,4,7,53,3,1,1
33.88520813,-84.24015045,13.06048797,2136,3,3,29,3,1,1
33.88425827,-84.23845673,12.8346813,1898,3,3,39,3,1,1
33.89775848,-84.27934265,13.01700286,1219,6,7,66,1,1,1
33.87315369,-84.23719025,13.11231304,2847,4,4,43,3,1,2
32.55646896,-83.60831451,12.66032792,2479,3,5,6,1,1,1
32.52516556,-83.56932068,12.75967036,2811,3,4,19,1,2,1
32.55897903,-83.65542603,12.1542529,1861,2,3,24,1,1,1
32.56673431,-83.64531708,12.10015642,1641,2,3,17,1,1,2
32.52751923,-83.60948944,12.95748873,3032,3,3,4,1,2,2
32.56277084,-83.59243774,12.35836446,1640,2,3,0,1,1,1
32.54216766,-83.5848999,12.79385931,2965,3,4,14,1,2,2
32.5583725,-83.62401581,12.18024189,1242,3,4,65,1,1,1
32.54741669,-83.64413452,12.25486281,1977,2,3,29,1,1,1
32.5367012,-83.56247711,12.30138283,2145,2,3,26,1,1,1
33.9310379,-84.19029236,12.52452638,1888,2,3,41,1,1,1
33.965271,-84.23639679,12.76568843,1953,2,3,40,3,1,1
33.95994186,-84.23936462,12.56024446,1700,3,2,39,3,1,1
33.94843674,-84.18058014,12.88664104,3064,4,5,37,3,2,2
33.95594025,-84.23705292,12.87364557,2713,4,4,14,1,1,1
33.954319,-84.23679352,12.87364557,2713,4,4,14,3,1,1
33.94927597,-84.18865204,12.89921983,2243,3,3,14,3,1,1
33.95770264,-84.17302704,12.30092818,1194,2,3,35,3,1,1
33.94135666,-84.20684052,12.20557252,1214,3,2,16,1,1,1
33.92742157,-84.19199371,12.58792789,1032,3,4,37,1,1,1
33.97018433,-84.20222473,13.12236338,3161,4,4,23,3,1,1
33.94498825,-84.22421265,12.9360338,1716,3,3,14,3,1,1
33.94623566,-84.18398285,12.5776362,1856,4,3,38,1,1,1
33.95914078,-84.22241974,12.82098798,2226,4,3,16,3,1,1
33.97492981,-84.19391632,13.12236338,3776,4,5,25,3,1,2
33.94403839,-84.23912811,12.36734079,1296,3,2,20,1,1,1
33.95308685,-84.20373535,12.61153775,2099,4,4,20,3,1,1
33.96212769,-84.23297882,13.142166,2417,4,4,1,3,1,1
33.90884781,-84.19828796,12.52452638,2345,3,2,16,2,2,1
32.55130005,-84.74153137,12.42881612,1787,2,3,53,1,1,1
32.57725525,-84.73052216,12.84397135,3391,4,4,18,3,1,1
32.56184387,-84.72793579,12.80295669,2707,3,4,0,3,1,1
32.62695694,-83.68179321,11.9823039,1523,2,3,17,1,1,1
33.16799164,-84.91681671,11.00209984,1240,1,3,71,1,1,1
33.16423035,-85.03769684,12.8967167,3763,4,3,39,1,1,1
33.17910385,-84.90496826,10.61398337,1304,1,2,111,1,1,1
33.09878922,-84.85494232,12.8344146,3107,3,4,0,1,1,1
33.17906189,-84.90206909,11.15482093,757,1,2,81,1,1,1
33.95256042,-83.38393402,12.54218768,1296,3,2,33,1,1,1
33.95781708,-83.36153412,13.52769514,2330,3,4,13,1,1,1
33.94102478,-83.41555786,13.30451825,3459,3,4,53,1,1,1
33.95929337,-83.40901947,12.61153775,1296,1,2,76,1,1,1
33.92562103,-83.39086151,12.97154049,1922,3,3,56,1,1,1
33.95529556,-83.39810944,12.73375539,2125,3,4,64,1,1,1
33.95254517,-83.40177155,12.83201108,1347,2,2,56,1,1,1
33.94638443,-83.35993958,12.20607265,712,1,2,61,1,1,1
33.92196655,-83.39302063,13.40603743,2921,3,3,32,1,1,1
33.94158554,-83.39820099,13.72667934,4919,6,7,73,1,1,1
33.94272232,-83.40144348,13.45883561,2598,4,4,4,1,1,1
